antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'recent', 'device'})","frozenset({'platform', 'technology'})",0.07096774193548387,0.04516129032258064,0.03225806451612903,0.45454545454545453,10.064935064935066,1.0,0.029053069719042663,1.7505376344086023,0.9694444444444443,0.38461538461538464,0.4287469287469287,0.5844155844155844
frozenset({'device'}),"frozenset({'platform', 'technology', 'recent'})",0.07096774193548387,0.04516129032258064,0.03225806451612903,0.45454545454545453,10.064935064935066,1.0,0.029053069719042663,1.7505376344086023,0.9694444444444443,0.38461538461538464,0.4287469287469287,0.5844155844155844
"frozenset({'platform', 'technology', 'recent'})",frozenset({'device'}),0.04516129032258064,0.07096774193548387,0.03225806451612903,0.7142857142857143,10.064935064935066,1.0,0.029053069719042663,3.2516129032258068,0.9432432432432433,0.38461538461538464,0.6924603174603174,0.5844155844155844
"frozenset({'recent', 'technology', 'device'})",frozenset({'platform'}),0.07096774193548387,0.04516129032258064,0.03225806451612903,0.45454545454545453,10.064935064935066,1.0,0.029053069719042663,1.7505376344086023,0.9694444444444443,0.38461538461538464,0.4287469287469287,0.5844155844155844
frozenset({'platform'}),"frozenset({'recent', 'technology', 'device'})",0.04516129032258064,0.07096774193548387,0.03225806451612903,0.7142857142857143,10.064935064935066,1.0,0.029053069719042663,3.2516129032258068,0.9432432432432433,0.38461538461538464,0.6924603174603174,0.5844155844155844
"frozenset({'platform', 'recent'})","frozenset({'technology', 'device'})",0.04516129032258064,0.07096774193548387,0.03225806451612903,0.7142857142857143,10.064935064935066,1.0,0.029053069719042663,3.2516129032258068,0.9432432432432433,0.38461538461538464,0.6924603174603174,0.5844155844155844
"frozenset({'technology', 'device'})",frozenset({'platform'}),0.07096774193548387,0.04516129032258064,0.03225806451612903,0.45454545454545453,10.064935064935066,1.0,0.029053069719042663,1.7505376344086023,0.9694444444444443,0.38461538461538464,0.4287469287469287,0.5844155844155844
"frozenset({'technology', 'device'})","frozenset({'platform', 'recent'})",0.07096774193548387,0.04516129032258064,0.03225806451612903,0.45454545454545453,10.064935064935066,1.0,0.029053069719042663,1.7505376344086023,0.9694444444444443,0.38461538461538464,0.4287469287469287,0.5844155844155844
"frozenset({'platform', 'technology'})","frozenset({'recent', 'device'})",0.04516129032258064,0.07096774193548387,0.03225806451612903,0.7142857142857143,10.064935064935066,1.0,0.029053069719042663,3.2516129032258068,0.9432432432432433,0.38461538461538464,0.6924603174603174,0.5844155844155844
"frozenset({'platform', 'technology'})",frozenset({'device'}),0.04516129032258064,0.07096774193548387,0.03225806451612903,0.7142857142857143,10.064935064935066,1.0,0.029053069719042663,3.2516129032258068,0.9432432432432433,0.38461538461538464,0.6924603174603174,0.5844155844155844
